	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gm53763	0.632425455824213	-0.375544400276317	1.26117162159118	-0.29777422346572	0.765875489273849	0.847444342196511
Idnk	71.1868282245553	-0.0585192526880464	0.196620204026861	-0.297625836458047	0.765988753091844	0.847454837792711
Gm8401	0.552331882431515	-0.385839929830956	1.29619356908406	-0.297671535358416	0.765953870583402	0.847454837792711
Fgfrl1	104.694349446853	-0.0435372236729684	0.14645518859219	-0.297273344095711	0.766257830598826	0.847695108673036
Dnajc17	50.4406921063175	0.0435088525617239	0.146509378270023	0.296969744022361	0.766489608438437	0.847792644893527
Gm16364	2.12583837928077	-0.281980213725585	0.949575811139355	-0.296953871842258	0.766501726334669	0.847792644893527
Gm15361	5.72722959217363	-0.14333569942356	0.482547700359413	-0.297039441524227	0.766436397325784	0.847792644893527
Gm43013	0.808714750680327	0.354455637771277	1.19419243278787	0.296816181412064	0.766606850922017	0.847794087842523
Zfp786	8.22896842670001	0.0984803340265666	0.331727548334476	0.296871135728741	0.766564893606569	0.847794087842523
Pdlim5	296.290568479405	0.0236269824064087	0.0796913586099338	0.296481109351592	0.76686269138232	0.848019600220465
Zswim1	70.2318893404068	0.0413452558661298	0.139662292955702	0.296037355474634	0.767201553723275	0.848164609450249
Rnf121	41.9125863362029	-0.0507637673207987	0.171446539730308	-0.296090941238313	0.767160631834938	0.848164609450249
Gm16379	0.622492233111701	-0.378889098468939	1.27936531810313	-0.296153954705216	0.767112511114677	0.848164609450249
Slc35f2	0.564189975457721	-0.38690949702743	1.30676983649772	-0.296080829401746	0.767168353900565	0.848164609450249
Gm11893	0.759205569367994	0.342838704418276	1.15860451470872	0.295906584227725	0.767301422643985	0.848217600827235
